Group,Subgroup,Student ID,Name
G-1,Subgroup 1,47,Xun Wei
G-1,Subgroup 1,13,Grace Turner
G-1,Subgroup 1,38,Prerna Gupta
G-1,Subgroup 1,16,Henry Foster
G-1,Subgroup 1,5,Ananya Ramesh
G-1,Subgroup 2,1,Aarti Nair
G-1,Subgroup 2,40,Sakina Ahmed
G-1,Subgroup 2,27,Meera Singh
G-1,Subgroup 2,12,Gabriel Young
G-1,Subgroup 2,45,Vikram Desai
G-1,Subgroup 3,8,Anya Kumar
G-1,Subgroup 3,34,Nurul Shafika
G-1,Subgroup 3,20,Karen Lee
G-1,Subgroup 3,19,Jie Zhang
G-1,Subgroup 3,35,Oleg Petrovich
G-1,Subgroup 4,28,Mei Hong
G-1,Subgroup 4,42,Savannah Taylor
G-1,Subgroup 4,41,Sana Jain
G-1,Subgroup 4,30,Mohit Desai
G-1,Subgroup 4,18,Jett Morales
G-1,Subgroup 5,9,Areeba Khan
G-1,Subgroup 5,22,Kathy Lau
G-1,Subgroup 5,6,Anjali Patel
G-1,Subgroup 5,37,Omer Ahmed
G-1,Subgroup 5,25,Lucas Walker
G-1,Subgroup 6,15,Harlow Wang
G-1,Subgroup 6,26,Maria Ivanovna
G-1,Subgroup 6,49,Zara Chang
G-1,Subgroup 6,36,Oliver Tan
G-1,Subgroup 6,10,Darren Lee
G-1,Subgroup 7,33,Nisha Das
G-1,Subgroup 7,39,Priya Singh
G-1,Subgroup 7,32,Nhung Vu
G-1,Subgroup 7,3,Ajay Verma
G-1,Subgroup 7,48,Zachary Wu
G-1,Subgroup 8,17,Isabella Thompson
G-1,Subgroup 8,24,Lila Patel
G-1,Subgroup 8,21,Karen Wong
G-1,Subgroup 8,11,Felix Yip
G-1,Subgroup 8,7,Anthony Liu
G-1,Subgroup 9,46,Vivi Dwi
G-1,Subgroup 9,44,Truong Minh Chau
G-1,Subgroup 9,23,Layla Torres
G-1,Subgroup 9,0,Aarav Singh
G-1,Subgroup 9,31,Nguyen Van Sam
G-1,Subgroup 10,4,Amelia Kim
G-1,Subgroup 10,14,Han Li
G-1,Subgroup 10,2,Adlan Bin Rahman
G-1,Subgroup 10,29,Ming Zhang
G-1,Subgroup 10,43,Siddharth Nair
G-10,Subgroup 1,50,Adrian Castillo
G-10,Subgroup 1,87,Sophie Cheung
G-10,Subgroup 1,90,Tatum Flores
G-10,Subgroup 1,94,Xiao Chen
G-10,Subgroup 1,51,Alyssa Green
G-10,Subgroup 2,60,Hassan Malik
G-10,Subgroup 2,63,Isaiah Scott
G-10,Subgroup 2,66,Kendrick Alvarado
G-10,Subgroup 2,88,Tanya Lee
G-10,Subgroup 2,86,Soo-Young Kim
G-10,Subgroup 3,64,Jaxon Hall
G-10,Subgroup 3,96,Yasir Ahmad
G-10,Subgroup 3,72,Liam Jones
G-10,Subgroup 3,61,Hendra Mulyana
G-10,Subgroup 3,83,Rhys Tan
G-10,Subgroup 4,76,Ming Wei
